,DOMESTIC OCEAN RATE,,,,,,,
,,,,,,,,
,"ORIGIN: Guangdong, China",,,,,,,
,Destinations,,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号
No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,
,Currency :RMB,,,, ,,,
,,,,,,SHDR DC1/TDSC DC,,
,,,,Historical Shipping Volume (cbm),,"Transit time(days, pickup date is excluded)",Quotation,
,Cost Items,Currency,UOM,20GP,40'/40HQ,Transit,20GP,40'/40HQ
,All-in Door-to-Door Rate from Dongguan ,CNY,per container size,58.207499999999996,759.55,,,
,,,,,,,,
,Other,Response,,,,,,
,Sailing Schedule,,,,,,,
,Underlying Carriers,,,,,,,
,Transit Days,,,,,,,
,Origin / Destination terminals,,,,,,,
,Temp. Monitoring Device for Reefer Containers,,,,,,,
,,,,,,,,
,Demurrage (Storage of containers at port),Carrier Proposed,,,,,,
,"Rate (RMB) per day, after free time expires",,,,,,,
,Free Time: Days before demurrage begins,,,,,,,
,,,,,,,,
,,,,,,,,
,Detention (Storage of containers in customer care),Carrier Proposed,,,,,,
,"Rate (RMB) per day, after free time expires",,,,,,,
,Free Time: Days before detention begins,,,,,,,
