,项目投入明细,,,,,,,,
,序号,项目,费用条目,说明,单位,数量/月,未税单价/月,合计月/元,分摊至的报价单费项
,1,操作及办公设备,操作及办公设备,3年分摊，请提供明细清单,\,,,,见下文明细
,2,人工,项目经理,对应岗位如无则写0，如有缺失请自行增补填写,个,,,,
,,,仓储主管,对应岗位如无则写0，如有缺失请自行增补填写,个,,,,
,,,入库组（对应岗位如无则写0，如有缺失请自行增补填写）,入库负责人,个,,,,
,,,,收货员,个,,,,
,,,,上架员,个,,,,
,,,存储组（对应岗位如无则写0，如有缺失请自行增补填写）,库存负责人,个,,,,
,,,,补货员,个,,,,
,,,,盘点员岗,个,,,,
,,,,叉车司机岗,个,,,,
,,,出库组（对应岗位如无则写0，如有缺失请自行增补填写）,出库负责人岗,个,,,,
,,,,拣货员岗,个,,,,
,,,,复核员岗,个,,,,
,,,,打包员岗,个,,,,
,,,,装卸员岗,个,,,,
,,,,发货员岗,个,,,,
,,,其他人员（对应岗位如无则写0，如有缺失请自行增补填写）,包括但不限于运营、异常处理、行政支持等,个,,,,
,3,工建,强弱电改造工建,3年分摊，请提供明细清单,\,,,,
,,,电池房恒温恒湿及消防工建,3年分摊，请提供明细清单,\,,,,
,,,照明改造,3年分摊，请提供明细清单,\,,,,
,,,其他工建（网络等）,3年分摊，请提供明细清单,\,,,,
,4,场地,场地租金,㎡,㎡,,,,
,,,物业管理,㎡,㎡,,,,
,,,装修摊销成本,3年分摊,㎡,,,,
,5,耗材,办公耗材及生产耗材,请提供明细清单,\,,,,
,6,保险,针对客户要求进行投保,,\,,,,
,7,水电费,按月度,,\,,,,
,8,利润,,,\,,,,
,,,,,,,年度费用总计,,
,,,,,,,三年费用总计,,
,,,,,,,,,
,,,,,需代公式,,总费用,需求量,单价
,,,,,仓储单价核算,储存费用,,,
,,,,,操作单价核算,入库费用,,,
,,,,,操作单价核算,出库费用,,,
,设备明细数据示例,,,,,,,,
,,,,,,,,,
,设备类型,物料/设备名,需求数,需求数量逻辑,价格原值,折旧年限,总费用/月,分摊至的报价单费项,
,安防设备,CCTV,,,,,#DIV/0!,,
,存储设备,托盘,,,,,#DIV/0!,,
,存储设备,搁板货架,,,,,#DIV/0!,,
,存储设备,横梁货架,,,,,#DIV/0!,,
,拣选设备,RF/PDA,,,,,#DIV/0!,,
,拣选设备,拣货车,,,,,#DIV/0!,,
,拣选设备,打包工作台,,,,,#DIV/0!,,
,办公设备,标签打印机,,,,,#DIV/0!,,
,办公设备,有线扫描枪,,,,,#DIV/0!,,
,办公设备,电脑一体机,,,,,#DIV/0!,,
,办公设备,单据打印机（针式）,,,,,#DIV/0!,,
,办公设备,激光打印机,,,,,#DIV/0!,,
,办公设备,办公工作台,,,,,#DIV/0!,,
,办公设备,办公工作椅,,,,,#DIV/0!,,
,…,…,,,,,#DIV/0!,,
,合计,,,,,,#DIV/0!,,
,,,,,,,,,
,人力成本明细数据示例,,,,,,,,
,,,,,,,,,
,人力成本明细,,,,,,,,
,岗位,人数,基本工资/月/人,加班费基数,正常工时/月/人,社保公积金缴纳比例,工资/月/人,总人力成本,总工时
,请根据需求填写-可自行增加行数,请根据实际情况预估,请根据实际情况预估,公式列：基本薪资/正常工时,请根据实际情况预估，正常情况22天*8H,请提供社保公积金缴费比例,公式列：基本薪资+其他补贴+加班费基数*平时加班工时*1.5+加班费基数*周末加班工时*2+社保公积金缴纳比例*基本工资,公式列：人均月工资*人数,公式列：（正常工时+平时加班工时+周末加班工时）*人数
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,合计,0,,,,,#DIV/0!,0,0
,,,,,,,,,
,,,,,,,,,
,场地数据示例,,,,,,,,
,,,,,,,,,
,场地规划,,面积,面积逻辑,,,,,
,使用面积,存储区,,,,,,,
,,理货区,,,,,,,
,,收货区,,,,,,,
,,发货区,,,,,,,
,,办公室,,,,,,,
,公摊面积,,,,,,,,
,总建筑面积,,,,,,,,
,该场地理论存放的CBM,,,,,,,,
