关键信息项,供应商确认项,DJI备注
仓库位置,,合法提供位于招标RFP中的场地资源，提供详细地址
运输便捷性,,跟主要的高速路、机场、主要港口的距离
投标仓库土地性质,,是否具备物流仓储营业资质，物流仓储用地性质或工业用地或其他需明确，无税收要求，且仓库消防等级达到丙二类通过消防验收
园区总租赁面积,,当前物流园区可租赁面积
园区出入口数量,,
园区建筑,,园区单层库*栋、双层库*栋、
目前可用建筑,,对应投标场地建筑
目前可用楼层,,对应投标场地楼层
货梯（如适用）,,备注电梯数量、载重、运行速度
卸货平台类型,,
可用卸货平台数量,,
危险品存储,,是否有危险品存储资质
运营节点,,
可用长期使用时间,,
立柱尺寸(米),,A*B
柱间距(米),,A*B
仓库净高(米),,备注层高以及有效净高
地面承重(吨/平米),,
实际可用面积(平米),,
计租面积(平米),,
基础设施和设备,,"备注已有设备情况
1) 保证基本的水电照明和网路供应
2) 拥有备份电源，保证仓库的不间断供电
3）园区内设有地磅（如无地磅则需进行加装）"
仓库安全要求,,1) 仓库500米范围内无危险源 (如油库，加油站，及其它易燃易爆危险源，易遭受洪灾和山体滑坡的区域）
,,2) 仓库所处位置为非低洼，防雨，且有良好的排水系统
,,3）过去五年没有发生严重事故，包括安保事故
,,4）是否有货物安全问题相关的法律诉讼
安保要求,,"1) 7/7, 24/24 库区安保监控系统和园区保安"
,,2) 全库区配备安保报警系统
,,3) 全库区配备烟雾探测系统和灭火系统
周边配套,,是否有相关生活配套提供给赋能人员及技术指导或管理人员后勤保障
