,FULL TRUCK RATES,,,,,,,,,
,Rates to be awarded by MOT. Rates submitted must not be contingent upon bundled award.,,,,,,,,,
,,,,,,,,,,
,Destinations,,,,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号 No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,,,
,Currency :RMB,Exclude VAT ,,,,,,,,
,,,,,,,,,,
,,,,,SHDR DC1/TDSC DC,,,,,
,From Province, From City ,Lorry Size, Temperature ,Transit Days (excluding pick up day),Rate (RMB) Excluding VAT,,,Accessorial Description,Accessorial Charge per Occurrence (RMB)
,Anhui,Chaohu,10T,DRY,,,,,Stop off charge (¥),
,Anhui,Chaohu,12T,DRY,,,,,Tallyman Fee (¥)*,
,Anhui,Chaohu,15T,DRY,,,,,HAZMAT (¥),
,Anhui,Chaohu,26T,DRY,,,,,"Empty Fee (truck ordered, not used) (¥)",
,Anhui,Chaohu,3T,DRY,,,,,,
,Anhui,Chaohu,5T,DRY,,,,,,
,Anhui,Chaohu,8T,DRY,,,,,,
,Anhui,Chaohu,40'HQ,DRY - SOC,,,,,,
,Anhui,Tianchang,10T,DRY,,,,,,
,Anhui,Tianchang,12T,DRY,,,,,,
,Anhui,Tianchang,15T,DRY,,,,,,
,Anhui,Tianchang,25T,DRY,,,,,,
,Anhui,Tianchang,26T,DRY,,,,,,
,Anhui,Tianchang,3T,DRY,,,,,,
,Anhui,Tianchang,5T,DRY,,,,,,
,Anhui,Tianchang,8T,DRY,,,,,,
,Anhui,Tianchang,40'HQ,DRY - SOC,,,,,,
,Anhui,Xuancheng,26T,DRY,,,,,,
,Anhui,Xuancheng,3T,DRY,,,,,,
,Anhui,Xuancheng,5T,DRY,,,,,,
,Anhui,Xuancheng,8T,DRY,,,,,,
,Fujian,Quanzhou,10T,DRY,,,,,,
,Fujian,Quanzhou,15T,DRY,,,,,,
,Fujian,Quanzhou,25T,DRY,,,,,,
,Fujian,Quanzhou,26T,DRY,,,,,,
,Fujian,Quanzhou,5T,DRY,,,,,,
,Fujian,Quanzhou,8T,DRY,,,,,,
,Fujian,Quanzhou,40'HQ,DRY - SOC,,,,,,
,Fujian,Shishi,3T,DRY,,,,,,
,Fujian,Shishi,5T,DRY,,,,,,
,Fujian,Shishi,8T,DRY,,,,,,
,Guangdong,Dongguan,10T,DRY,,,,,,
,Guangdong,Dongguan,12T,DRY,,,,,,
,Guangdong,Dongguan,15T,DRY,,,,,,
,Guangdong,Dongguan,25T,DRY,,,,,,
,Guangdong,Dongguan,26T,DRY,,,,,,
,Guangdong,Dongguan,3T,DRY,,,,,,
,Guangdong,Dongguan,5T,DRY,,,,,,
,Guangdong,Dongguan,8T,DRY,,,,,,
,Guangdong,Dongguan,DG_3T,HAZMAT,,,,,,
,Guangdong,Dongguan,DG_8T,HAZMAT,,,,,,
,Guangdong,Dongguan,REF_3T,REEFER,,,,,,
,Guangdong,Dongguan,40'HQ,DRY - SOC,,,,,,
,Guangdong,Foshan,3T,DRY,,,,,,
,Guangdong,Foshan,5T,DRY,,,,,,
,Guangdong,Foshan,REF_3T,REEFER,,,,,,
,Guangdong,Foshan,REF_5T,REEFER,,,,,,
,Guangdong,Heyuan,10T,DRY,,,,,,
,Guangdong,Heyuan,26T,DRY,,,,,,
,Guangdong,Heyuan,3T,DRY,,,,,,
,Guangdong,Heyuan,DG_5T,HAZMAT,,,,,,
,Guangdong,Huizhou,DG_10T,HAZMAT,,,,,,
,Guangdong,Huizhou,12T,DRY,,,,,,
,Guangdong,Huizhou,15T,DRY,,,,,,
,Guangdong,Huizhou,26T,DRY,,,,,,
