起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,运掌柜车长,运掌柜平台车型,状态,错误,基地,本地原始车型,查询起运区县,查询目的区县,查询目的区县来源,查询级别,市场价低,市场价高,市场参考价,距离km,可见样本数
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,1600,2300,1980,416,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,1600,2300,1980,425,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,1900,2500,2360,416,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,1900,2600,2310,425,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,2200,2700,2520,416,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,2200,2800,2520,425,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,3600,4300,4070,416,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,3600,4300,4070,425,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,928,1200,1100,410,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,928,1150,1100,413,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,1240,1600,1530,410,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,1200,1500,1430,413,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,巢湖市,浦东新区,输入区县,区县级,1700,2100,1980,410,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,巢湖市,奉贤区,输入区县,区县级,1650,2100,1870,413,20
安徽省,合肥市,巢湖市,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,巢湖市,浦东新区,输入区县,区县级,2660,3100,2970,416,20
安徽省,合肥市,巢湖市,上海市,上海市,奉贤区,普通货物,12.5,集装箱,成功,,,,巢湖市,奉贤区,输入区县,区县级,2660,3200,2970,425,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,1500,2100,1870,354,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,1430,1950,1760,352,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,1800,2300,2170,354,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,1800,2300,2090,352,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,1900,2340,2180,354,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,1900,2550,2180,352,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,2750,3700,3240,354,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,2750,3500,3080,352,20
安徽省,滁州市,天长市,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,天长市,浦东新区,输入区县,区县级,3100,4100,3780,354,20
安徽省,滁州市,天长市,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,天长市,奉贤区,输入区县,区县级,3000,4000,3510,352,20
