状态,错误,基地,起运省,起运市,起运区县,目的省,目的市,目的区县,本地原始车型,货物名称,车长,平台车型,运掌柜查询重量（吨）,查询区县数,有效区县数,置信度,市场参考价中位数,市场参考价最低,市场参考价最高,市场低价最低,市场高价最高,距离中位数km
失败,运掌柜级联菜单找不到选项：晋江市,,福建省,泉州市,晋江市,上海市,上海市,奉贤区,,普通货物,6.2,厢式,,1,0,低,,,,,,
失败,,,福建省,泉州市,晋江市,上海市,上海市,浦东新区,,普通货物,12.5,集装箱,,1,0,低,,,,,,
失败,,,广东省,东莞市,长安镇,上海市,上海市,奉贤区,,普通货物,4.2,厢式,,1,0,低,,,,,,
失败,,,广东省,佛山市,顺德区,上海市,上海市,浦东新区,,普通货物,4.2,厢式,,1,0,低,,,,,,
失败,,,上海市,上海市,松江区,上海市,上海市,浦东新区,,普通货物,13,厢式,,1,0,低,,,,,,
失败,,,广东省,佛山市,顺德区,上海市,上海市,奉贤区,,普通货物,12.5,集装箱,,1,0,低,,,,,,
失败,,,广东省,河源市,东源县,上海市,上海市,浦东新区,,普通货物,7.7,厢式,,1,0,低,,,,,,
失败,,,广东省,河源市,东源县,上海市,上海市,奉贤区,,普通货物,8.7,厢式,,1,0,低,,,,,,
失败,,,广东省,河源市,东源县,上海市,上海市,浦东新区,,普通货物,13,厢式,,1,0,低,,,,,,
失败,,,广东省,河源市,东源县,上海市,上海市,奉贤区,,普通货物,13,厢式,,1,0,低,,,,,,
失败,,,广东省,河源市,东源县,上海市,上海市,浦东新区,,普通货物,12.5,集装箱,,1,0,低,,,,,,
失败,,,广东省,河源市,东源县,上海市,上海市,奉贤区,,普通货物,12.5,集装箱,,1,0,低,,,,,,
失败,,,广东省,惠州市,惠阳区,上海市,上海市,浦东新区,,普通货物,6.8,厢式,,1,0,低,,,,,,
失败,,,广东省,深圳市,宝安区,上海市,上海市,奉贤区,,普通货物,6.2,集装箱,,1,0,低,,,,,,
失败,运掌柜级联菜单找不到选项：郴州市,,湖南省,郴州市,资兴市,上海市,上海市,浦东新区,,普通货物,4.2,厢式,,1,0,低,,,,,,
