状态,错误,基地,起运省,起运市,起运区县,目的省,目的市,目的区县,本地原始车型,货物名称,车长,平台车型,运掌柜查询重量（吨）,查询起运区县,查询目的区县,查询目的区县来源,查询级别,市场价低,市场价高,市场参考价,距离km,可见样本数
失败,运掌柜级联菜单找不到选项：晋江市,,福建省,泉州市,晋江市,上海市,上海市,奉贤区,,普通货物,6.2,厢式,,晋江市,奉贤区,输入区县,区县级,,,,,
成功,,,福建省,泉州市,晋江市,上海市,上海市,浦东新区,,普通货物,12.5,集装箱,,晋江市,浦东新区,输入区县,区县级,,,,973,0
成功,,,广东省,东莞市,长安镇,上海市,上海市,奉贤区,,普通货物,4.2,厢式,,长安镇,奉贤区,输入区县,区县级,,,,1402,0
成功,,,广东省,佛山市,顺德区,上海市,上海市,浦东新区,,普通货物,4.2,厢式,,顺德区,浦东新区,输入区县,区县级,,,,1505,0
成功,,,上海市,上海市,松江区,上海市,上海市,浦东新区,,普通货物,13,厢式,,松江区,浦东新区,输入区县,区县级,,,,48,0
成功,,,广东省,佛山市,顺德区,上海市,上海市,奉贤区,,普通货物,12.5,集装箱,,顺德区,奉贤区,输入区县,区县级,,,,1455,0
成功,,,广东省,河源市,东源县,上海市,上海市,浦东新区,,普通货物,7.7,厢式,,东源县,浦东新区,输入区县,区县级,,,,1257,0
成功,,,广东省,河源市,东源县,上海市,上海市,奉贤区,,普通货物,8.7,厢式,,东源县,奉贤区,输入区县,区县级,,,,1233,0
成功,,,广东省,河源市,东源县,上海市,上海市,浦东新区,,普通货物,13,厢式,,东源县,浦东新区,输入区县,区县级,,,,1257,0
成功,,,广东省,河源市,东源县,上海市,上海市,奉贤区,,普通货物,13,厢式,,东源县,奉贤区,输入区县,区县级,,,,1233,0
成功,,,广东省,河源市,东源县,上海市,上海市,浦东新区,,普通货物,12.5,集装箱,,东源县,浦东新区,输入区县,区县级,,,,1257,0
成功,,,广东省,河源市,东源县,上海市,上海市,奉贤区,,普通货物,12.5,集装箱,,东源县,奉贤区,输入区县,区县级,,,,1233,0
成功,,,广东省,惠州市,惠阳区,上海市,上海市,浦东新区,,普通货物,6.8,厢式,,惠阳区,浦东新区,输入区县,区县级,,,,1374,0
成功,,,广东省,深圳市,宝安区,上海市,上海市,奉贤区,,普通货物,6.2,集装箱,,宝安区,奉贤区,输入区县,区县级,,,,1418,0
失败,运掌柜级联菜单找不到选项：郴州市,,湖南省,郴州市,资兴市,上海市,上海市,浦东新区,,普通货物,4.2,厢式,,资兴市,浦东新区,输入区县,区县级,,,,,
