,DOMESTIC OCEAN RATE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"ORIGIN: Guangdong, China",,,,,,,,,,,,,,,
,Destinations,,,,,,,,,,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号
No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,,,,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,,,,,,,,,
,Currency :RMB,,,, ,,,,,,,,,,,
,,,,,,SHDR DC1/TDSC DC,,,,,利潤,0.2,,,,
,,,,Historical Shipping Volume (cbm),,"Transit time(days, pickup date is excluded)",Quotation,,,,AR,,預計貨量,,,
,Cost Items,Currency,UOM,20GP,40'/40HQ,Transit,20GP,40'/40HQ,,,20'GP,40'GP/HQ,20'GP,40'GP/HQ,預計營收,預計成本
,All-in Door-to-Door Rate from Dongguan ,CNY,per container size,58.2075,759.55,6 days(船运时间，不含提派时间）,6550,7380,产品归属周天真,,7860,8856,2,11,113136,94280
,,,,,,,,,,,,,,,,
,Other,Response,,,,,,,,,,,,,,
,Sailing Schedule,1 sailing per week,,,,,,,,,,,,,,
,Underlying Carriers,no info,,,,,,,,,,,,,,
,Transit Days,10-11days(waiting time excluded),,,,,,,,,,,,,,
,Origin / Destination terminals,DONGGUAN/SHANGHAI,,,,,,,,,,,,,,
,Temp. Monitoring Device for Reefer Containers,Reefer container to be quoted separately.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Demurrage (Storage of containers at port),Carrier Proposed,,,,,,,,,,,,,,
,"Rate (RMB) per day, after free time expires","上海：第8-10天： 小柜每天20 /大柜每天40
第11天后： 小柜每天70/ 大柜每天140 
第11天后 小柜收取50一柜的平移费  大柜收取75一柜的平移费
东莞：第8-14天 小柜每天12/ 大柜每天24
第15-21天 小柜每天18  大柜每天36 
22天后  小柜每天24  大柜每天48 ",,,,,,,,,,,,,,
,Free Time: Days before demurrage begins,7 calendar days free demurrage,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Detention (Storage of containers in customer care),Carrier Proposed,,,,,,,,,,,,,,
,"Rate (RMB) per day, after free time expires","第8-14天： 小柜每天63/ 大柜每天130
第15-21天： 小柜每天126/  大柜每天260 
22天后： 小柜每天189 /大柜每天390",,,,,,,,,,,,,,
,Free Time: Days before detention begins,7 calendar days free detention,,,,,,,,,,,,,,
