FTL Truck Type,,Provice,City,Sum of No. of shipment,Sum of 2027 Projected vol,省份,城市,每車體積,車型,
Truck,AnhuiChaohu26T,Anhui,Chaohu,328,31716.44,安徽,巢湖,97,26T,
Truck,AnhuiTianchang25T,Anhui,Tianchang,127,10547.85,安徽,天长,84,25T,
Truck,AnhuiXuancheng15T,Anhui,Xuancheng,12,653.91,安徽,宣城,55,15T,
Truck,FujianQuanzhou25T,Fujian,Quanzhou,35,2647.32,福建,泉州,76,25T,
Truck,FujianShishi5T,Fujian,Shishi,4,56.22,福建,石狮,15,5T,
Truck,GuangdongDongguan25T,Guangdong,Dongguan,157,12436.51,广东,东莞,80,25T,
Truck,GuangdongFoshan5T,Guangdong,Foshan,2,31.3,广东,佛山,16,5T,
Truck,GuangdongHeyuan3T,Guangdong,Heyuan,7,21.27,广东,河源,4,3T,
Truck,GuangdongHuizhou20’GP,Guangdong,Huizhou,23,587.91,广东,惠州,26,20’GP,
Truck,GuangdongJiangmen3T,Guangdong,Jiangmen,1,8.03,广东,江门,9,3T,
Truck,GuangdongShantou20’GP,Guangdong,Shantou,3,69.41,广东,汕头,24,20’GP,
Truck,GuangdongShenzhen25T,Guangdong,Shenzhen,38,2911.3,广东,深圳,77,25T,
Truck,GuangdongZhaoqing5T,Guangdong,Zhaoqing,1,17.38,广东,肇庆,18,5T,
Truck,GuangdongZhongshan12T,Guangdong,Zhongshan,10,415.16,广东,中山,42,12T,
Truck,GuangdongZhuhai3T,Guangdong,Zhuhai,1,8.95,广东,珠海,9,3T,
Truck,GuangxiHechi8T,Guangxi,Hechi,2,56.58,广西,河池,29,8T,
Truck,GuangxiPubei40'HQ,Guangxi,Pubei,12,754.94,广西,浦北,63,40'HQ,
Truck,GuangxiQinzhou26T,Guangxi,Qinzhou,85,8365.86,广西,钦州,99,26T,
Truck,HebeiHejian15T,Hebei,Hejian,2,100.59,河北,河间,51,15T,
Truck,HunanChenzhou15T,Hunan,Chenzhou,13,623.77,湖南,郴州,48,15T,
Truck,HunanZixing10T,Hunan,Zixing,3,109.43,湖南,资兴,37,10T,
Truck,JiangsuChangzhou3T,Jiangsu,Changzhou,1,0.09,江苏,常州,1,3T,
Truck,JiangsuLianyungang20’GP,Jiangsu,Lianyungang,15,408.29,江苏,连云港,28,20’GP,
Truck,JiangsuSuqian20’GP,Jiangsu,Suqian,3,76.55,江苏,宿迁,26,20’GP,
Truck,JiangsuSuzhou25T,Jiangsu,Suzhou,150,11357.2,江苏,苏州,76,25T,
Truck,JiangsuYangzhou20’GP,Jiangsu,Yangzhou,6,162.81,江苏,扬州,28,20’GP,
Truck,JiangxiGanzhou15T,Jiangxi,Ganzhou,14,741.04,江西,赣州,53,15T,
Truck,ShandongQingdao20’GP,Shandong,Qingdao,7,171.4,山东,青岛,25,20’GP,
Truck,ShandongTai'An3T,Shandong,Tai'An,2,6.82,山东,泰安,4,3T,
Truck,ShandongWeihai3T,Shandong,Weihai,1,1.31,山东,威海,2,3T,
Truck,ShandongYantai3T,Shandong,Yantai,1,3.32,山东,烟台,4,3T,
Truck,ShanghaiShanghai8T,Shanghai,Shanghai,8,229.97,上海,上海,29,8T,
Truck,ShanxiAnkang40'HQ,Shanxi,Ankang,22,1459.96,陕西,安康,67,40'HQ,
Truck,ZhejiangHuzhou12T,Zhejiang,Huzhou,11,484.12,浙江,湖州,45,12T,
Truck,ZhejiangNingbo5T,Zhejiang,Ningbo,8,135.66,浙江,宁波,17,5T,
Truck,ZhejiangPinghu5T,Zhejiang,Pinghu,12,173.92,浙江,平湖,15,5T,
Truck-DG,,Guangdong,Dongguan,6,40.8,广东,东莞,7,3T,
Truck-REF,,Guangdong,Dongguan,2,16.17,广东,东莞,9,3T,
Truck-REF,,Guangdong,Foshan,3,42.93,广东,佛山,15,5T,
Truck-REF,,Guangdong,Shantou,24,196.15,广东,汕头,9,3T,
Truck-REF,,Jiangxi,Nanchang,1,54.39,江西,南昌,55,15T,
