,FULL TRUCK RATES,,,,,,,,,,,,,,,,,,,,,,,,P&L,,,Type,車次,AR,AP,"毛利(年,RMB)","毛利(年,%)",,,,,,
,Rates to be awarded by MOT. Rates submitted must not be contingent upon bundled award.,,,,,,,,,,,,,,,,,,,,,,,,,,,FTL,1157,5967953,5892350,75603,0.0128307042181812,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTL,,2081093.2800000003,1891053.94,190039.34000000032,0.10049387591768023,,,,,,
,Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,,國內海運,,113136,94280,18856,0.2,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号 No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,,,,,,,,,,,,,,,,,,,,,客服成本,,0,90000,-90000,,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,,,,,,,,,,,,,,,,,,,,,調度成本,,0,120000,-120000,,,,,,,
,Currency :RMB,Exclude VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,系统对接成本,,0,60000,-60000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,保险成本,,0,0,0,,,,,,,
,,,,,,,SHDR DC1/TDSC DC,AP,,,AP,,,,,AP,,,,,,,,,,,,綜合評估,,8162182.28,8147683.9399999995,14498.340000000317,0.00177944310392584,,,,,,
,From Province, From City ,省,市,Lorry Size, Temperature ,SHDR DC1/TDSC DC,Rate (RMB) Excluding VAT,REMARK,产品归属,蔡焱南8/27 12:00报价,"运输天数
(不含提货日)",蔡焱南8/27报价,蔡焱南8/27 12:00报价,8/27目標價,王峰8/26报价,"运输天数
(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
AnhuiChaohu10TDRY,Anhui,Chaohu,安徽,巢湖,10T,DRY,1,2750,,华东-孙理想,2430,1,2200,2430,,2430,1,2430,蔡焱南,320,0.11636363636363636,2750,,Stop off charge (¥),,,0,2750,,,,,,,,,,,
AnhuiChaohu12TDRY,Anhui,Chaohu,安徽,巢湖,12T,DRY,1,2850,,华东-孙理想,2310,1,2310,2310,,2760,1,2310,蔡焱南,540,0.18947368421052632,2850,,Tallyman Fee (¥)*,,,0,2850,,,,,,,,,,,
AnhuiChaohu15TDRY,Anhui,Chaohu,安徽,巢湖,15T,DRY,1,3000,,华东-孙理想,2595,1,2593.5,2595,,2980,1,2595,蔡焱南,405,0.135,3000,,HAZMAT (¥),,,0,3000,,,,,,,,,,,
AnhuiChaohu26TDRY,Anhui,Chaohu,安徽,巢湖,26T,DRY,1,4250,,华东-孙理想,3975,1,3400,3975,,3975,1,3975,蔡焱南,275,0.06470588235294118,4335,,"Empty Fee (truck ordered, not used) (¥)",,,0.020000000000000018,4335,328,1421880,1394000,,,,,,,,
AnhuiChaohu3TDRY,Anhui,Chaohu,安徽,巢湖,3T,DRY,1,1450,,华东-孙理想,1220,1,1160,1220,,1220,1,1220,蔡焱南,230,0.15862068965517243,1450,,,,,0,1450,,,,,,,,,,,
AnhuiChaohu5TDRY,Anhui,Chaohu,安徽,巢湖,5T,DRY,1,2450,,华东-孙理想,2100,1,1960,2100,,2100,1,2100,蔡焱南,350,0.14285714285714285,2450,,,,,0,2450,,,,,,,,,,,
