,国内海运费率,,,,,,,
,,,,,,,,
,始发地：中国广东,,,,,,,
,目的地,,,,,,,
,"SHDR DC1（主配送中心）：上海临港新城普洛斯临港物流园洋浩路575号，
中国上海市浦东新区",,,,,,,
,TDSC 配送中心：上海市奉贤区航塘公路3088号C栋3楼迪士尼商店仓库，开瑞益上海配送中心C3，上海市奉贤区航塘公路3088号,,,,,,,
,币种：人民币,,,, ,,,
,,,,,,SHDR DC1/TDSC DC,,
,,,,历史发货量（立方米）,,运输时间（天，不含提货日）,报价,
,费用项目,币种,计量单位,20GP,40'/40尺高柜,运输,20GP,40'/40尺高柜
,东莞门到门全程费率,人民币,按箱型,58.2075,759.55,,,
,,,,,,,,
,其他,回复,,,,,,
,船期,,,,,,,
,承运人,,,,,,,
,运输天数,,,,,,,
,起运/目的港码头,,,,,,,
,冷藏集装箱温度监控设备,,,,,,,
,,,,,,,,
,滞箱费（集装箱在港口存储）,承运人报价,,,,,,
,免费期后每日费率（人民币）,,,,,,,
,免费期：滞箱费开始前的天数,,,,,,,
,,,,,,,,
,,,,,,,,
,滞留费（集装箱在客户处存储）,承运人报价,,,,,,
,免费期后每日费率（人民币）,,,,,,,
,免费期：滞留费开始前的天数,,,,,,,
