source_id,condition_id,source_ids,起运地,目的地,货物名称,车长,平台车型,查询重量（吨）,起运区县来源,目的区县来源,状态,重试次数,市场参考价,成交价下限,成交价上限,距离（公里）,样本数,表单核验,明细数,严格匹配数,明细不匹配数,证据路径,错误信息
11,0923615cb3395e6535b825d974892ae3e7d9c6acbd0f6f313495b72ed9173802,11,广东省 中山市 小榄镇,上海市 上海市 奉贤区,普通货物,12.5,集装箱,,客户原始区县,客户原始区县,no_data,1,,,,1482,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\0923615cb3395e6535b825d974892ae3e7d9c6acbd0f6f313495b72ed9173802\20260821-144906-868936,
9,22d4d1933fca25d7da0acfa18124b17a8f09455eb1bb4909c6489ae33c549afa,9,福建省 泉州市 晋江市,上海市 上海市 浦东新区,普通货物,5,厢式,,客户原始区县,客户原始区县,no_data,1,,,,952,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\22d4d1933fca25d7da0acfa18124b17a8f09455eb1bb4909c6489ae33c549afa\20260821-144849-526027,
10,36383bee7ad6574eac3cbc0caea94f281ccc6f170bcd358a23cff24c83510dbb,10,广西壮族自治区 钦州市 钦南区,上海市 上海市 奉贤区,普通货物,6.2,集装箱,,客户原始区县,客户原始区县,no_data,1,,,,1925,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\36383bee7ad6574eac3cbc0caea94f281ccc6f170bcd358a23cff24c83510dbb\20260821-144856-880404,
2,5be1de4b8558ea4c9476264e07164d9e2f719afad22341aad452729717073113,2,福建省 泉州市 石狮市,上海市 上海市 奉贤区,普通货物,12.5,集装箱,,客户原始区县,客户原始区县,no_data,1,,,,948,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\5be1de4b8558ea4c9476264e07164d9e2f719afad22341aad452729717073113\20260821-144746-736915,
5,619069d1fb6647719da0949e9c2ffeb1a430194160e90985c998370bee092b9a,5,浙江省 嘉兴市 平湖市,上海市 上海市 奉贤区,普通货物,4.2,厢式,,客户原始区县,客户原始区县,no_data,1,,,,66,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\619069d1fb6647719da0949e9c2ffeb1a430194160e90985c998370bee092b9a\20260821-144812-079451,
3,a37a59bcad22fde8a4c38a26ce1f6585c858db293224fd339d5f0b69b177c4e5,3,福建省 泉州市 晋江市,上海市 上海市 浦东新区,普通货物,7.7,厢式,,客户原始区县,客户原始区县,no_data,1,,,,973,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\a37a59bcad22fde8a4c38a26ce1f6585c858db293224fd339d5f0b69b177c4e5\20260821-144754-945026,
7,b5506e27134bbe157bed8c61b45decf4b411613077a23445bb22b1002fb065cf,7,山东省 青岛市 黄岛区,上海市 上海市 奉贤区,普通货物,4.2,厢式,,客户原始区县,客户原始区县,no_data,1,,,,705,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\b5506e27134bbe157bed8c61b45decf4b411613077a23445bb22b1002fb065cf\20260821-144831-429849,
8,d18d8d341fd5f595bd0472afb3f488eaae1fe76af81837ce42573098b9bcc269,8,安徽省 宣城市 宣州区,上海市 上海市 浦东新区,普通货物,6.2,厢式,,客户原始区县,客户原始区县,no_data,1,,,,286,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\d18d8d341fd5f595bd0472afb3f488eaae1fe76af81837ce42573098b9bcc269\20260821-144839-093839,
4,d9c32f82404d10c9543fb373bd4b3ff8e97e417d15b7db2b6cc259254d472b7a,4,浙江省 温州市 龙湾区,上海市 上海市 浦东新区,普通货物,6.8,厢式,,客户原始区县,客户原始区县,no_data,1,,,,482,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\d9c32f82404d10c9543fb373bd4b3ff8e97e417d15b7db2b6cc259254d472b7a\20260821-144804-987256,
6,f8ed3d4d7b2df639c1e14bf7515f2eea30678ea5c1362e074ccbdb7b8327ca49,6,广东省 汕头市 澄海区,上海市 上海市 奉贤区,普通货物,6.2,集装箱,,客户原始区县,客户原始区县,no_data,1,,,,1192,0,True,0,0,0,D:\DongBase\datahub\skill-samples\Disney-order-yzg\runtime\yzg-60db3b5f8e9eab79\evidence\f8ed3d4d7b2df639c1e14bf7515f2eea30678ea5c1362e074ccbdb7b8327ca49\20260821-144821-638669,
