source_id,起运省,起运市,起运区县,目的省,目的市,目的区县,运掌柜货物名称,运掌柜车长,运掌柜平台车型,运掌柜查询重量（吨）,起运区县来源,目的区县来源
2,福建省,泉州市,石狮市,上海市,上海市,奉贤区,普通货物,12.5,集装箱,,客户原始区县,客户原始区县
3,福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,7.7,厢式,,客户原始区县,客户原始区县
4,浙江省,温州市,龙湾区,上海市,上海市,浦东新区,普通货物,6.8,厢式,,客户原始区县,客户原始区县
5,浙江省,嘉兴市,平湖市,上海市,上海市,奉贤区,普通货物,4.2,厢式,,客户原始区县,客户原始区县
6,广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,,客户原始区县,客户原始区县
7,山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,4.2,厢式,,客户原始区县,客户原始区县
8,安徽省,宣城市,宣州区,上海市,上海市,浦东新区,普通货物,6.2,厢式,,客户原始区县,客户原始区县
9,福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,5,厢式,,客户原始区县,客户原始区县
10,广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,,客户原始区县,客户原始区县
11,广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,12.5,集装箱,,客户原始区县,客户原始区县
