condition_id,source_ids,起运省,起运市,起运区县,目的省,目的市,目的区县,运掌柜货物名称,运掌柜车长,运掌柜平台车型,运掌柜查询重量（吨）,起运区县来源,目的区县来源
5be1de4b8558ea4c9476264e07164d9e2f719afad22341aad452729717073113,2,福建省,泉州市,石狮市,上海市,上海市,奉贤区,普通货物,12.5,集装箱,,客户原始区县,客户原始区县
a37a59bcad22fde8a4c38a26ce1f6585c858db293224fd339d5f0b69b177c4e5,3,福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,7.7,厢式,,客户原始区县,客户原始区县
d9c32f82404d10c9543fb373bd4b3ff8e97e417d15b7db2b6cc259254d472b7a,4,浙江省,温州市,龙湾区,上海市,上海市,浦东新区,普通货物,6.8,厢式,,客户原始区县,客户原始区县
619069d1fb6647719da0949e9c2ffeb1a430194160e90985c998370bee092b9a,5,浙江省,嘉兴市,平湖市,上海市,上海市,奉贤区,普通货物,4.2,厢式,,客户原始区县,客户原始区县
f8ed3d4d7b2df639c1e14bf7515f2eea30678ea5c1362e074ccbdb7b8327ca49,6,广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,,客户原始区县,客户原始区县
b5506e27134bbe157bed8c61b45decf4b411613077a23445bb22b1002fb065cf,7,山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,4.2,厢式,,客户原始区县,客户原始区县
d18d8d341fd5f595bd0472afb3f488eaae1fe76af81837ce42573098b9bcc269,8,安徽省,宣城市,宣州区,上海市,上海市,浦东新区,普通货物,6.2,厢式,,客户原始区县,客户原始区县
22d4d1933fca25d7da0acfa18124b17a8f09455eb1bb4909c6489ae33c549afa,9,福建省,泉州市,晋江市,上海市,上海市,浦东新区,普通货物,5,厢式,,客户原始区县,客户原始区县
36383bee7ad6574eac3cbc0caea94f281ccc6f170bcd358a23cff24c83510dbb,10,广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,6.2,集装箱,,客户原始区县,客户原始区县
0923615cb3395e6535b825d974892ae3e7d9c6acbd0f6f313495b72ed9173802,11,广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,12.5,集装箱,,客户原始区县,客户原始区县
